taxon	Feature ID	Taxon
Triticum turgidum	NC_024814.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum turgidum;NA;NA;NA
Triticum turgidum subsp. dicoccum	JX456363.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum turgidum;Triticum turgidum subsp. dicoccum;NA;NA
Triticum turgidum subsp. durum	AB732942.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum turgidum;Triticum turgidum subsp. durum;NA;NA
Triticum urartu	NC_021762.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum urartu;NA;NA;NA
Triticum urartu var. nigrum	AB732946.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum urartu;NA;Triticum urartu var. nigrum;NA
Tropaeolum majus	NC_066011.1	Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Tropaeolaceae;Tropaeolum;Tropaeolum majus;NA;NA;NA
Tulbaghia violacea	KU692130.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Tulbaghia;Tulbaghia violacea;NA;NA;NA
Tulbaghia violacea	NC_057555.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Tulbaghia;Tulbaghia violacea;NA;NA;NA
Tulbaghia violacea var. obtusa	KU692131.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Tulbaghia;Tulbaghia violacea;NA;Tulbaghia violacea var. obtusa;NA
Tulbaghia violacea var. violacea	KU692133.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Tulbaghia;Tulbaghia violacea;NA;Tulbaghia violacea var. violacea;NA
Tylosema esculentum	NC_067756.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Tylosema;Tylosema esculentum;NA;NA;NA
Typha angustifolia	AM113701.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha angustifolia;NA;NA;NA
Typha angustifolia	JF319451.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha angustifolia;NA;NA;NA
Typha angustifolia	JX508603.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha angustifolia;NA;NA;NA
Typha domingensis	EU924502.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha domingensis;NA;NA;NA
Typha latifolia	GQ245632.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha latifolia;NA;NA;NA
Typha latifolia	JF319485.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha latifolia;NA;NA;NA
Typha latifolia	JX508606.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha latifolia;NA;NA;NA
